lipsUpperOuter_61,lipsUpperOuter_185,lipsUpperOuter_40,lipsUpperOuter_39,lipsUpperOuter_37,lipsUpperOuter_0,lipsUpperOuter_267,lipsUpperOuter_269,lipsUpperOuter_270,lipsUpperOuter_409,lipsUpperOuter_291,lipsLowerOuter_146,lipsLowerOuter_91,lipsLowerOuter_181,lipsLowerOuter_84,lipsLowerOuter_17,lipsLowerOuter_314,lipsLowerOuter_405,lipsLowerOuter_321,lipsLowerOuter_375,lipsLowerOuter_291,lipsUpperInner_78,lipsUpperInner_191,lipsUpperInner_80,lipsUpperInner_81,lipsUpperInner_82,lipsUpperInner_13,lipsUpperInner_312,lipsUpperInner_311,lipsUpperInner_310,lipsUpperInner_415,lipsUpperInner_308,lipsLowerInner_78,lipsLowerInner_95,lipsLowerInner_88,lipsLowerInner_178,lipsLowerInner_87,lipsLowerInner_14,lipsLowerInner_317,lipsLowerInner_402,lipsLowerInner_318,lipsLowerInner_324,lipsLowerInner_308,rightEyeLower3_143,rightEyeLower3_111,rightEyeLower3_117,rightEyeLower3_118,rightEyeLower3_119,rightEyeLower3_120,rightEyeLower3_121,rightEyeLower3_128,rightEyeLower3_245,rightEyebrowUpper_156,rightEyebrowUpper_70,rightEyebrowUpper_63,rightEyebrowUpper_105,rightEyebrowUpper_66,rightEyebrowUpper_107,rightEyebrowUpper_55,rightEyebrowUpper_193,leftEyeLower0_263,leftEyeLower0_249,leftEyeLower0_390,leftEyeLower0_373,leftEyeLower0_374,leftEyeLower0_380,leftEyeLower0_381,leftEyeLower0_382,leftEyeLower0_362,leftEyebrowUpper_383,leftEyebrowUpper_300,leftEyebrowUpper_293,leftEyebrowUpper_334,leftEyebrowUpper_296,leftEyebrowUpper_336,leftEyebrowUpper_285,leftEyebrowUpper_417,rightCheek_205,rightCheek_137,rightCheek_123,rightCheek_50,rightCheek_203,rightCheek_177,rightCheek_147,rightCheek_187,rightCheek_207,rightCheek_216,rightCheek_215,rightCheek_213,rightCheek_192,rightCheek_214,rightCheek_212,rightCheek_138,rightCheek_135,rightCheek_210,rightCheek_169,leftCheek_425,leftCheek_352,leftCheek_280,leftCheek_330,leftCheek_266,leftCheek_423,leftCheek_426,leftCheek_427,leftCheek_411,leftCheek_376,leftCheek_436,leftCheek_416,leftCheek_432,leftCheek_434,leftCheek_422,leftCheek_430,leftCheek_364,leftCheek_394,leftCheek_371,is_stroke_face
-0.796998463,-0.783760706,-0.8542493,-1.005284715,-1.792750788,-29.10622491,2.036442646,1.081124869,0.908468931,0.832173609,0.844193329,-0.969460917,-1.246864694,-1.83835528,-3.498055279,-59.45901308,3.931700835,1.957685639,1.311675403,1.022844581,0.844193329,-0.918154037,-1.01471725,-1.23084911,-1.679417363,-3.013861794,-35.95276388,3.565958054,1.846013468,1.322713251,1.081376699,0.97108638,-0.918154037,-1.139275349,-1.364399707,-1.908737912,-3.488597525,-53.40273194,4.003904443,2.050995403,1.443168128,1.202534774,0.97108638,0.259233612,0.206698011,0.175896263,0.182329118,0.27106221,0.437896968,0.715397588,1.163994848,1.967047018,0.401851561,0.540819389,0.703647571,0.940208746,1.36763734,2.737285263,2.678753496,3.49557252,-0.442890772,-0.438359978,-0.445171447,-0.469774452,-0.535841807,-0.645704839,-0.812668749,-0.965318248,-1.079059807,-0.391515806,-0.524019762,-0.673956077,-0.888610513,-1.259550814,-2.336155577,-2.286705922,-2.857890725,-0.137397178,-0.045146143,-0.006078569,-0.010955935,-0.199602498,-0.189540516,-0.146928705,-0.193455029,-0.283457576,-0.423828123,-0.338696048,-0.277821415,-0.397664368,-0.547601196,-0.605617536,-0.511518534,-0.693183057,-0.850243639,-0.953041558,0.142664329,0.010681563,0.016076411,-0.131380827,0.011692854,0.210761265,0.317880456,0.290726625,0.199215157,0.153055436,0.436470527,0.406742179,0.624145616,0.561062048,0.876275171,0.871827666,0.71012758,0.976404729,-0.13471607,1
-0.642420243,-0.637614961,-0.723669679,-0.889810599,-1.550794413,-6.475804099,3.615617168,1.600362868,1.280204308,1.13050415,1.133269544,-0.837462868,-1.120946223,-1.637607223,-2.730356726,-7.522372869,12.12171217,3.527687762,2.051274141,1.475139588,1.133269544,-0.744349926,-0.817219048,-1.008536378,-1.369675839,-2.201217976,-6.654626109,7.992568245,2.896166515,1.883045237,1.468837262,1.319004227,-0.744349926,-0.957914929,-1.158373457,-1.592090596,-2.571456366,-7.103374383,11.7979214,3.549904617,2.196695562,1.735552059,1.319004227,0.545799918,0.469183665,0.426394795,0.440934169,0.580178356,0.846442523,1.30169592,2.087892387,3.68107702,0.755239941,0.967577705,1.231719404,1.643374705,2.446489487,5.600822106,5.368332958,7.788770789,-0.56742263,-0.567608674,-0.582606955,-0.622729717,-0.718284302,-0.873807031,-1.109153236,-1.325976779,-1.48055971,-0.489160466,-0.659714685,-0.858113485,-1.137591153,-1.600361011,-2.793386533,-2.782666948,-3.394415035,0.009668929,0.122361806,0.171348655,0.168457202,-0.054193021,-0.068346429,-0.015040703,-0.070149716,-0.171631693,-0.311546993,-0.255452572,-0.179516694,-0.319924381,-0.490421088,-0.532531954,-0.460515607,-0.674332711,-0.84328685,-0.972039024,0.224253673,0.051668068,0.053534412,-0.166798699,0.026067068,0.296974725,0.458174513,0.433893618,0.314172008,0.251810557,0.617773951,0.61837296,0.926578046,0.853487128,1.379093015,1.413742127,1.122774073,1.634850007,-0.205106717,1
-0.788563493,-0.800038163,-0.889967386,-1.072732762,-2.086448331,9.13511138,1.369077807,0.754314538,0.631120894,0.56872501,0.564355987,-0.931668387,-1.1926892,-1.91095957,-5.054814594,7.446720901,2.160831737,1.229997001,0.846739138,0.673597446,0.564355987,-0.847121994,-0.961847367,-1.1987897,-1.734634036,-3.820233803,11.05439854,2.337931859,1.31738382,0.942839595,0.750121635,0.644290982,-0.847121994,-0.993181163,-1.172257152,-1.679965803,-3.732114476,9.905932074,2.134642576,1.212075618,0.887531111,0.760492789,0.644290982,0.198094769,0.15835997,0.135866566,0.149674367,0.242161873,0.382638353,0.56270572,0.788703679,1.08788444,0.304939795,0.40273794,0.511357266,0.654762512,0.878620318,1.362245697,1.322254431,1.46686081,-0.978089854,-0.999633069,-1.047229335,-1.147423094,-1.391712516,-1.845929109,-2.756579728,-3.942547913,-5.049972166,-0.82905135,-1.042499345,-1.316171149,-1.805546059,-3.135564707,-49.43329892,-418.9759727,8.437024076,-0.116583591,-0.044984394,-0.020445588,-0.017494528,-0.149270938,-0.165006798,-0.139958144,-0.179310921,-0.254442268,-0.384704134,-0.290936647,-0.250210886,-0.353549228,-0.495490916,-0.564722635,-0.442963734,-0.616261348,-0.792517422,-0.881961206,-0.116476188,-0.247105691,-0.25034118,-0.504310052,-0.313021103,-0.073803296,0.057606203,0.046657796,-0.038836694,-0.086185852,0.186183488,0.158452228,0.354428858,0.293867394,0.554730054,0.543837765,0.411881678,0.61888602,-0.595885536,1
-2.699763849,-2.638461519,-2.861563351,-3.422441557,-7.638168255,12.17741407,3.140404908,1.90519319,1.654674132,1.538375346,1.585225354,-3.410643659,-4.58778324,-7.636022398,-25.86222498,15.66348879,5.90029178,3.608208315,2.549343377,1.978119486,1.585225354,-3.200146909,-3.605083057,-4.54644149,-6.933709411,-21.58431195,13.01138392,4.821783796,3.091802606,2.368307914,1.982277054,1.824572917,-3.200146909,-4.188755179,-5.276740248,-8.493537853,-30.54636423,14.58053994,5.74113548,3.653959209,2.724644856,2.295855925,1.824572917,0.636387092,0.496218452,0.418446893,0.445484115,0.704871793,1.162099566,1.851139184,2.828978868,4.296413263,1.002003077,1.341498153,1.716740964,2.225674779,3.072556335,5.239166376,5.178681433,6.312963423,-1.532832157,-1.543960934,-1.590647933,-1.69463607,-1.946495094,-2.355951634,-3.003214841,-3.612871271,-4.057209449,-1.373776913,-1.8087559,-2.339284478,-3.139751702,-4.713630732,-11.15350937,-10.84512848,-16.17209199,-0.419268045,-0.174859867,-0.074154598,-0.079301138,-0.584381182,-0.581745581,-0.466973292,-0.597154694,-0.854548818,-1.281660868,-1.020120485,-0.844674491,-1.208049972,-1.690110205,-1.90211867,-1.556189287,-2.16336079,-2.745916508,-3.104831896,0.091830686,-0.218853198,-0.226715178,-0.671911937,-0.288209573,0.202651726,0.493207649,0.470590989,0.258979466,0.151300253,0.778127959,0.76436062,1.228064431,1.113861518,1.775542968,1.800757294,1.456325968,2.028305318,-0.741644469,1
-0.570210306,-0.582948553,-0.669733796,-0.824995684,-1.521187449,-13.63843793,2.015914086,0.966277189,0.770260631,0.666191417,0.648366761,-0.717415449,-0.964844062,-1.497451779,-2.930814886,-35.57745999,3.585499458,1.697961386,1.085336393,0.81253485,0.648366761,-0.638315945,-0.732571401,-0.932544351,-1.324385312,-2.40494831,-15.78178787,3.637530085,1.690601044,1.132360242,0.870279376,0.739679224,-0.638315945,-0.789878796,-0.954389182,-1.354606446,-2.484571812,-19.84084022,3.433211181,1.634265282,1.11728844,0.918021807,0.739679224,0.403876085,0.3580956,0.330910089,0.353063175,0.494254318,0.733029616,1.067607497,1.546038735,2.29807035,0.53410622,0.652955158,0.797368479,1.027856726,1.452360958,2.704428551,2.708833753,3.472425306,-0.731338271,-0.746572875,-0.777917547,-0.840925323,-0.980113994,-1.19112542,-1.50407456,-1.763166529,-1.910960275,-0.627459632,-0.75931314,-0.921422471,-1.187215051,-1.702750052,-3.465876463,-3.568333974,-5.20895366,0.013843548,0.109903621,0.135379272,0.134755359,-0.000584631,-0.033113353,-0.006032829,-0.053733142,-0.137654365,-0.257237075,-0.178169158,-0.131450205,-0.245280762,-0.390431529,-0.43792885,-0.346068094,-0.528075442,-0.687489322,-0.791848197,-0.043702364,-0.178557157,-0.17465166,-0.391440135,-0.226477592,-0.020208861,0.122518231,0.11767178,0.02679584,-0.025856323,0.25588275,0.230079403,0.448418477,0.385427305,0.694891346,0.692804949,0.522984145,0.789426783,-0.455394919,1
-0.974487497,-0.950425776,-1.024063056,-1.181542582,-2.112646126,13.5524813,1.453920494,0.758150031,0.641047287,0.589717405,0.609253909,-1.2579098,-1.755804343,-3.086707644,-11.72645801,5.999660118,2.375470539,1.460694092,1.025854522,0.788124008,0.609253909,-1.088335913,-1.154806508,-1.395282959,-1.928424629,-3.943995325,11.95633393,2.366474228,1.361219149,0.998957079,0.814411822,0.735830538,-1.088335913,-1.395291188,-1.735315825,-2.666192991,-7.051129027,7.841612593,2.500896023,1.520827062,1.116270017,0.935265912,0.735830538,0.127803333,0.08871994,0.06752637,0.086105403,0.1856417,0.335862536,0.531344062,0.771922753,1.072021682,0.256610985,0.37463114,0.503638469,0.673375924,0.920364158,1.396409484,1.351133575,1.456641565,-1.381910734,-1.412181038,-1.48302726,-1.636085604,-2.008862423,-2.719307987,-4.240535295,-6.691020179,-9.701284133,-1.185621205,-1.557186222,-2.077070095,-3.155102853,-7.251594891,11.11703996,9.982550747,5.482536052,-0.256991145,-0.19451328,-0.139940308,-0.124569393,-0.292375507,-0.366774434,-0.30621782,-0.349176655,-0.441583215,-0.575768009,-0.557149194,-0.469619293,-0.617844619,-0.818707071,-0.859250039,-0.793192188,-1.080125587,-1.3398822,-1.580464897,-0.160220993,-0.32991323,-0.344818458,-0.673599508,-0.401958528,-0.101914816,0.055448149,0.048734124,-0.055473227,-0.107577713,0.200338431,0.214749466,0.433248925,0.380466543,0.695593937,0.704828914,0.557114857,0.811871436,-0.747981015,1
-0.904017153,-0.913949447,-1.034497489,-1.292592698,-3.228489238,3.843533938,1.126321347,0.678568445,0.569158975,0.509806864,0.50342855,-1.108723252,-1.476746402,-2.575614502,-11.26820421,4.43960403,1.812823933,1.101833304,0.771039015,0.606659378,0.50342855,-1.024787715,-1.211322975,-1.597950351,-2.598462945,-10.31621687,4.203188839,1.662859036,1.052327886,0.780822199,0.633786565,0.560106549,-1.024787715,-1.272982226,-1.584256445,-2.601993239,-12.07303986,3.844655705,1.601747794,1.016242249,0.768970006,0.662771046,0.560106549,0.34826341,0.293229852,0.261118078,0.275296017,0.396261168,0.601231467,0.902672566,1.336028329,2.013147633,0.480698129,0.60318645,0.747416859,0.956507751,1.327251521,2.370913978,2.354746922,2.979147552,-0.61582394,-0.623136091,-0.643661032,-0.687628865,-0.791941866,-0.960917771,-1.224404199,-1.469040731,-1.638903566,-0.542471942,-0.676668014,-0.840992872,-1.102123333,-1.606391117,-3.40242014,-3.428510203,-5.137984059,-0.042482236,0.060581498,0.080905778,0.075079242,-0.087575191,-0.078691753,-0.055443602,-0.105640004,-0.195909201,-0.354916648,-0.223279644,-0.180247753,-0.299335411,-0.46350319,-0.555860037,-0.395510386,-0.589800269,-0.79184069,-0.879349316,-0.020784917,-0.132486935,-0.1319071,-0.312832409,-0.174251946,0.006549513,0.121037938,0.117935651,0.042864493,0.000709498,0.230328364,0.217321895,0.384358037,0.341216466,0.570972427,0.5805458,0.456719516,0.66230836,-0.366492462,1
-0.787932327,-0.779661715,-0.847353481,-0.982236853,-1.531016272,-4.336457007,6.825374763,2.227159789,1.762967364,1.574694521,1.575276383,-0.922047726,-1.135283524,-1.568072835,-2.486894479,-5.79323592,26.0095324,4.311099797,2.484663665,1.89603998,1.575276383,-0.874719284,-0.961785583,-1.139650757,-1.473136991,-2.188104305,-4.620308278,-316.1377551,5.529603441,3.020702237,2.219522538,1.854796295,-0.874719284,-1.015590752,-1.163251874,-1.503121141,-2.275155809,-5.042714563,55.71566975,4.880762694,2.849223371,2.294290765,1.854796295,0.364847247,0.305335238,0.268354653,0.277775817,0.388221946,0.597915109,0.944539408,1.513068929,2.557859345,0.535032769,0.704693914,0.907918321,1.216679616,1.79051723,3.71532678,3.581425159,4.720697565,-0.563027398,-0.561745216,-0.575185317,-0.61017012,-0.700300978,-0.854525869,-1.087937982,-1.307734746,-1.472767706,-0.472718161,-0.635997172,-0.820328994,-1.084368864,-1.541557111,-2.836006216,-2.848375573,-3.648593182,-0.089665091,0.008086242,0.05118283,0.048181826,-0.15940519,-0.153312596,-0.109964146,-0.160099203,-0.25381671,-0.402071587,-0.31141187,-0.252015585,-0.375820189,-0.5296029,-0.592290575,-0.486225275,-0.666330966,-0.82382456,-0.913534159,0.220425965,0.046832179,0.053188192,-0.152700922,0.036266485,0.328361273,0.481413374,0.428833919,0.300117717,0.235072694,0.669514615,0.582210013,0.961233502,0.81837569,1.381511643,1.303948959,1.008364637,1.431349003,-0.176381528,1
-0.558699424,-0.583405573,-0.689797327,-0.883089663,-1.663567082,-19.33188991,2.096388923,1.005222242,0.768683518,0.647257751,0.619323745,-0.698150988,-0.92725834,-1.432936718,-2.845521953,-38.36649177,3.425700465,1.616586063,1.035314154,0.777288536,0.619323745,-0.621513976,-0.705539799,-0.901158589,-1.298446735,-2.369586457,-19.72307983,3.274762461,1.585324307,1.057638495,0.813448271,0.702430158,-0.621513976,-0.752817173,-0.900687328,-1.276636263,-2.366666547,-20.65807271,3.210822937,1.52349157,1.038173649,0.858160906,0.702430158,0.311134355,0.270867618,0.246065182,0.263245024,0.374223287,0.56940016,0.861374068,1.285629767,1.938814905,0.437632249,0.557926465,0.705053363,0.933867486,1.335842474,2.435148432,2.414804396,2.925149851,-0.666642923,-0.675770792,-0.699283969,-0.749116647,-0.865838655,-1.060178339,-1.370758412,-1.66704079,-1.87164811,-0.555671922,-0.701625573,-0.885069328,-1.187014281,-1.778752788,-3.965263642,-4.11551748,-6.249629261,-0.055080459,0.018057167,0.055812257,0.060397045,-0.084326717,-0.123021884,-0.083635901,-0.122861237,-0.197164242,-0.305694703,-0.263479083,-0.207444438,-0.312697344,-0.446504311,-0.481658944,-0.421278943,-0.596412103,-0.749013096,-0.865366436,0.020054603,-0.105844693,-0.107472796,-0.302375382,-0.142216261,0.062252903,0.186245809,0.171878982,0.089903947,0.045967476,0.29915838,0.291623048,0.486425111,0.436695558,0.738167657,0.751725685,0.588569033,0.862457559,-0.351027473,1
-0.905181284,-0.922968146,-1.048992479,-1.283510882,-2.508257359,21.06047942,1.978796915,1.089445109,0.897216897,0.793547776,0.776001802,-1.075738025,-1.37779238,-2.121445758,-4.597927451,25.08656762,3.32086306,1.762517417,1.182817304,0.925951819,0.776001802,-1.007456428,-1.18963545,-1.533358779,-2.272067546,-4.759747978,24.4120885,3.365888951,1.834240397,1.291803657,1.015847271,0.866663039,-1.007456428,-1.214282678,-1.454050258,-2.096500281,-4.329278527,23.05915394,3.121920011,1.720144639,1.231938884,1.037813362,0.866663039,0.464289241,0.396381486,0.355283697,0.372284745,0.535660856,0.813916123,1.219267158,1.817560598,2.823725165,0.622585206,0.770110588,0.948234643,1.21840835,1.720644963,3.272911686,3.299237853,4.474089391,-0.712716075,-0.715565395,-0.736873067,-0.786724096,-0.903355326,-1.082054176,-1.343605065,-1.574662621,-1.720045708,-0.63017079,-0.781592688,-0.964924079,-1.239288347,-1.748991802,-3.356812645,-3.359408487,-4.497548699,-0.014633119,0.125392609,0.140506045,0.126755878,-0.066908823,-0.03688713,-0.018662116,-0.083066154,-0.191436556,-0.369536287,-0.203888837,-0.161926052,-0.300761906,-0.481318967,-0.574935321,-0.40129662,-0.611726237,-0.812618431,-0.902205541,-0.009369093,-0.156115541,-0.143977561,-0.357543307,-0.192746258,0.035619009,0.175873268,0.15761832,0.055835689,-0.004326794,0.320662726,0.259394203,0.506348469,0.424483337,0.744210511,0.720814243,0.541157157,0.796631637,-0.41847013,1
